image_path,image_name,category,stimulus_number,clothing_type,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,participant,session,counterbalance,block_number,block_name,trial_in_block,trial_global,required_action,response_key,response_action,correct,rt,participant,session,counterbalance,
vaast images and script/shc15.png,shc15.png,SHC,15,jacket,0,0,0,31,,,001,001,B,1,Incongruent,1,1,avoid,down,approach,0,1.0519516249987646,001,001,B,
vaast images and script/fhc21.png,fhc21.png,FHC,21,beanie,0,1,1,13,,,001,001,B,1,Incongruent,2,2,approach,down,approach,1,0.8947320419974858,001,001,B,
vaast images and script/shc4.png,shc4.png,SHC,4,shirt,0,2,2,44,,,001,001,B,1,Incongruent,3,3,avoid,up,avoid,1,1.2154860419977922,001,001,B,
vaast images and script/fhc17.png,fhc17.png,FHC,17,hoodie,0,3,3,8,,,001,001,B,1,Incongruent,4,4,approach,None,None,0,None,001,001,B,
vaast images and script/shc10.png,shc10.png,SHC,10,pants,0,4,4,26,,,001,001,B,1,Incongruent,5,5,avoid,up,avoid,1,1.845441417004622,001,001,B,
vaast images and script/shc2.png,shc2.png,SHC,2,shirt,0,5,5,36,,,001,001,B,1,Incongruent,6,6,avoid,up,avoid,1,0.7262190000037663,001,001,B,
vaast images and script/fhc1.png,fhc1.png,FHC,1,shirt,0,6,6,0,,,001,001,B,1,Incongruent,7,7,approach,down,approach,1,0.7750307909955154,001,001,B,
vaast images and script/fhc20.png,fhc20.png,FHC,20,hoodie,0,7,7,12,,,001,001,B,1,Incongruent,8,8,approach,down,approach,1,1.0977340829995228,001,001,B,
vaast images and script/fhc6.png,fhc6.png,FHC,6,pants,0,8,8,21,,,001,001,B,1,Incongruent,9,9,approach,down,approach,1,0.541696749998664,001,001,B,
vaast images and script/shc12.png,shc12.png,SHC,12,jacket,0,9,9,28,,,001,001,B,1,Incongruent,10,10,avoid,down,approach,0,0.9204725829986273,001,001,B,
vaast images and script/shc24.png,shc24.png,SHC,24,beanie,0,10,10,41,,,001,001,B,1,Incongruent,11,11,avoid,up,avoid,1,1.2519622079998953,001,001,B,
vaast images and script/fhc25.png,fhc25.png,FHC,25,beanie,0,11,11,17,,,001,001,B,1,Incongruent,12,12,approach,down,approach,1,1.0845021670029382,001,001,B,
vaast images and script/fhc4.png,fhc4.png,FHC,4,shirt,0,12,12,19,,,001,001,B,1,Incongruent,13,13,approach,down,approach,1,0.9332602079957724,001,001,B,
vaast images and script/shc22.png,shc22.png,SHC,22,beanie,0,13,13,39,,,001,001,B,1,Incongruent,14,14,avoid,up,avoid,1,1.1804163330016308,001,001,B,
vaast images and script/shc19.png,shc19.png,SHC,19,hoodie,0,14,14,35,,,001,001,B,1,Incongruent,15,15,avoid,up,avoid,1,0.5191522500026622,001,001,B,
vaast images and script/shc3.png,shc3.png,SHC,3,shirt,0,15,15,43,,,001,001,B,1,Incongruent,16,16,avoid,up,avoid,1,0.4727404170043883,001,001,B,
vaast images and script/shc16.png,shc16.png,SHC,16,hoodie,0,16,16,32,,,001,001,B,1,Incongruent,17,17,avoid,up,avoid,1,0.4422493329984718,001,001,B,
vaast images and script/fhc3.png,fhc3.png,FHC,3,shirt,0,17,17,18,,,001,001,B,1,Incongruent,18,18,approach,down,approach,1,0.5798092920013005,001,001,B,
vaast images and script/shc1.png,shc1.png,SHC,1,shirt,0,18,18,25,,,001,001,B,1,Incongruent,19,19,avoid,up,avoid,1,0.6178839159983909,001,001,B,
vaast images and script/fhc7.png,fhc7.png,FHC,7,pants,0,19,19,22,,,001,001,B,1,Incongruent,20,20,approach,down,approach,1,0.4944099999993341,001,001,B,
vaast images and script/shc9.png,shc9.png,SHC,9,pants,0,20,20,49,,,001,001,B,1,Incongruent,21,21,avoid,up,avoid,1,0.5268371249985648,001,001,B,
vaast images and script/fhc5.png,fhc5.png,FHC,5,shirt,0,21,21,20,,,001,001,B,1,Incongruent,22,22,approach,down,approach,1,0.4539095840009395,001,001,B,
vaast images and script/shc5.png,shc5.png,SHC,5,shirt,0,22,22,45,,,001,001,B,1,Incongruent,23,23,avoid,up,avoid,1,0.4139507500003674,001,001,B,
vaast images and script/fhc13.png,fhc13.png,FHC,13,jacket,0,23,23,4,,,001,001,B,1,Incongruent,24,24,approach,down,approach,1,0.23029975000099512,001,001,B,
