image_path,image_name,category,stimulus_number,clothing_type,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,participant,session,counterbalance,block_number,block_name,trial_in_block,trial_global,required_action,response_key,response_source,response_action,correct,rt,participant,session,counterbalance,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc17.png,shc17.png,SHC,17,hoodie,0,0,0,8,,,1337,001,B,1,Incongruent,1,1,avoid,q,keyboard_button,approach,0,0.7559108750137966,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc19.png,fhc19.png,FHC,19,hoodie,0,1,1,35,,,1337,001,B,1,Incongruent,2,2,approach,q,keyboard_button,approach,1,2.091014667006675,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc19.png,shc19.png,SHC,19,hoodie,0,2,2,10,,,1337,001,B,1,Incongruent,3,3,avoid,m,keyboard_button,avoid,1,1.2383120410086121,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc16.png,fhc16.png,FHC,16,hoodie,0,3,3,32,,,1337,001,B,1,Incongruent,4,4,approach,q,keyboard_button,approach,1,1.8864725830208044,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc16.png,shc16.png,SHC,16,hoodie,0,4,4,7,,,1337,001,B,1,Incongruent,5,5,avoid,m,keyboard_button,avoid,1,0.6147810420079622,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc25.png,fhc25.png,FHC,25,beanie,0,5,5,42,,,1337,001,B,1,Incongruent,6,6,approach,q,keyboard_button,approach,1,0.5933877499774098,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc15.png,shc15.png,SHC,15,jacket,0,6,6,6,,,1337,001,B,1,Incongruent,7,7,avoid,m,keyboard_button,avoid,1,0.8399686249904335,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc14.png,shc14.png,SHC,14,jacket,0,7,7,5,,,1337,001,B,1,Incongruent,8,8,avoid,m,keyboard_button,avoid,1,0.9383054170175456,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc17.png,fhc17.png,FHC,17,hoodie,0,8,8,33,,,1337,001,B,1,Incongruent,9,9,approach,q,keyboard_button,approach,1,1.9627923329826444,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc22.png,shc22.png,SHC,22,beanie,0,9,9,14,,,1337,001,B,1,Incongruent,10,10,avoid,m,keyboard_button,avoid,1,0.9338365419826005,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc3.png,fhc3.png,FHC,3,shirt,0,10,10,43,,,1337,001,B,1,Incongruent,11,11,approach,q,keyboard_button,approach,1,0.5937265419925097,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc14.png,fhc14.png,FHC,14,jacket,0,11,11,30,,,1337,001,B,1,Incongruent,12,12,approach,q,keyboard_button,approach,1,0.6094506660010666,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc13.png,shc13.png,SHC,13,jacket,0,12,12,4,,,1337,001,B,1,Incongruent,13,13,avoid,m,keyboard_button,avoid,1,0.6943481249909382,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc5.png,fhc5.png,FHC,5,shirt,0,13,13,45,,,1337,001,B,1,Incongruent,14,14,approach,q,keyboard_button,approach,1,0.9940916250052396,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc5.png,shc5.png,SHC,5,shirt,0,14,14,20,,,1337,001,B,1,Incongruent,15,15,avoid,q,keyboard_button,approach,0,0.5748046670050826,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc4.png,shc4.png,SHC,4,shirt,0,15,15,19,,,1337,001,B,1,Incongruent,16,16,avoid,m,keyboard_button,avoid,1,0.880708875018172,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc2.png,fhc2.png,FHC,2,shirt,0,16,16,36,,,1337,001,B,1,Incongruent,17,17,approach,q,keyboard_button,approach,1,0.7605843339988496,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc24.png,shc24.png,SHC,24,beanie,0,17,17,16,,,1337,001,B,1,Incongruent,18,18,avoid,m,keyboard_button,avoid,1,0.789012041001115,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc7.png,shc7.png,SHC,7,pants,0,18,18,22,,,1337,001,B,1,Incongruent,19,19,avoid,m,keyboard_button,avoid,1,0.44670412500272505,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc15.png,fhc15.png,FHC,15,jacket,0,19,19,31,,,1337,001,B,1,Incongruent,20,20,approach,q,keyboard_button,approach,1,0.5058902500022668,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc9.png,fhc9.png,FHC,9,pants,0,20,20,49,,,1337,001,B,1,Incongruent,21,21,approach,q,keyboard_button,approach,1,0.8512434169824701,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc10.png,shc10.png,SHC,10,pants,0,21,21,1,,,1337,001,B,1,Incongruent,22,22,avoid,m,keyboard_button,avoid,1,0.6405847909918521,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_fhc/fhc13.png,fhc13.png,FHC,13,jacket,0,22,22,29,,,1337,001,B,1,Incongruent,23,23,approach,q,keyboard_button,approach,1,0.5800305829907302,1337,001,B,
/Users/geertmuller/Library/Mobile Documents/com~apple~CloudDocs/Behavioural Science RU/Compulsory/MRP_TASKS/MRP_AAT/material/shc_aat_material/background_shc/shc8.png,shc8.png,SHC,8,pants,0,23,23,23,,,1337,001,B,1,Incongruent,24,24,avoid,m,keyboard_button,avoid,1,0.82770329201594,1337,001,B,
